,drug,drug_name
37841,MADT02,Madopar Tab 250 mg                                
37921,LAMT04,Lamictal Tab  25  mg
37928,LAMT04,Lamictal Tab  25  mg                      
37951,DILT02,Dilantin Infatab 50 mg                            
38430,INNI01,"Innohep Inj 2 ml  vial(10,000 iu/ml )          "
38445,FOL022,*(d) Foley Cath 2-way (CH16) 5-15 cc
38484,EDUT01,*(d) Edurant Tab 25 mg
38489,TENT11,*(d) Teno-EM G.P.O (Ricovir-EM)
38669,HISE01,*(d) Hista-Oph Eye Drops10 ml             
38696,NORT13,*(d) Norxacin Tab 200 mg
38700,NORT13,*(d) Norxacin Tab 200 mg                  
38744,TRCI01,*(d) TRCS Verorab Inj 0.5 ml              
38813,METE01,*(d) Metzodin Nasal Spray 0.05%
38819,NATE01,*(d) Natear Eye Drops 0.3% 10 ml          
39090,NSSI01,*(d) NSS 1000 ml (Injection)              
39139,PARI01,Paracetamol Inj 300 mg/2ml                        
39199,LODI01,*(d) Lodexa-5 Inj. 5mg ( Dexamethasone 
39611,CCLT01,C-Clox Cap 250 mg
39618,COSE01,Cosopt Eye Drops 5 ml                     
39624,LYRT04,Lyrica Cap 25  mg                                 
39627,MYOT02,Myonal Tab 50 mg                                  
39628,CCLT01,C-Clox Cap 250 mg                         
39652,COSE01,Cosopt Eye Drops 5 ml
39796,GLUI03,*(d) 50%Glucose Inj.-50ml
39863,REPE02,Reparil Gel N  40 g                               
40044,CHLLX1,*(d) CHLORAL Hydrate 30 ml ()            
40045,EUTT02,*(d) Euthyrox Tab 100 mcg                         
40046,CALT07,*(d) Caltab-1500                                  
40056,BONT04,*(d) Bon-One Tab 0.5 mcg                          
40091,RECI07,Recombinate  Inj.500 IU  ED(2)                   
40098,DUOT01,*(d) Duocetz Tab
40126,SALT06,*(d) SalaZINE Tab 500 mg
40164,VITT05,Vitamin B6 Tab 10 mg
40166,RIFT05,Rifinah Cap 150   mg
40167,RIFT05,Rifinah Cap 150   mg                      
40168,VITT05,Vitamin B6 Tab 10 mg                      
40229,MEDT01,*(s) Medi-Alpha Cap 0.25 mcg
40231,CALT07,*(s) Caltab-1500
40233,MIRT02,*(s) Miracid Cap 20 mg(Omeprazole)
40235,DOST02,*(s) Dosanac Tab 50 mg
40237,AZAT01,*(s) AZAthioprine Tab 50 mg
40239,PRET05,*(s) Prednisolone Tab 5 mg (Predsomed)
40241,AMLT02,*(s) AmLOpine *TAB 10 MG
40243,MEDI01,*(d) Medizole Inj 500 mg/100ml
40270,SALT06,(6)SalaZINE Tab 500 mg
40601,PRET14,*(d) Prenolol Tab 25 mg                   
40796,HISE01,Hista-Oph Eye Drops10 ml
40832,MAFT04,*(d) Maforan Tab 2 mg *HAD*          
40884,USPT01,U-SPA Tab 100 mg                                  
40886,MONL01,Monurol granule 3 gm                              
40935,HISE01,Hista-Oph Eye Drops10 ml                  
40958,HIZT02,Hizin Tab 25 mg
41001,HIZT02,Hizin Tab 25 mg                           
41061,IBRL01,*(d) Ibrofen Syrup100mg/5ml (60ml)
41210,MECE01,*(d) Mecylic Oint 15 gm (generic diprosalic)
41243,MAFT05,*(d) Maforan Tab 4 mg *HAD*       
41268,MORL01,*(d) Morphine Sol.(10mg/5ml) 60ml *HAD*
41440,EU2E01,*(d) EU 2000 Cream 5 g
41748,NOV001,*(d) Novofine Needle 30G
41922,BAC005,Back Support size L                               
41932,TEET03,*(d) Teevir Tab () (300/600/200mg)
41942,PYRT02,Pyrimine Tab 60 mg                                
42016,SCA021,*(d) Scalp Vein 21G
42036,WHIEX4,*(d) White Vaseline 50 g
42472,FUCE03,Fucidin Cream 15 g                                
42487,VITI01,*(d) Vitamin B1 Inj 100 mg
42584,ZNSH01,Zinc Solution 5 mg/ml (30ml)                      
42587,CARH02,Carvedilol Susp. 1mg/ml (25ml)                    
42614,MINE01,Minirin Nasal Sol 2.5 ml                          
42727,BELL01,*(d) Belcid Suspension 240 ml             
43025,METT10,*(d) Methylphenidate HCl Tab10 mg *HAD*
43130,TERE01,*(d) TerRamycin Opht Oint 3.5 g           
43250,EZET02,Ezetimibe (sandoz) Tab 10 mg                      
43260,SERE06,*(d) Seretide Evohaler 25/50
43285,ANTT03,Anta Tab 0.5 mg
43295,SAMT03,Samarin Tab 140 mg                                
43297,COVT02,Coversyl Arginine Tab 5 mg                        
43301,XIGT01,Xigduo XR Tab (10/1000)                           
43382,ITRT02,Itracon Cap 100 mg
43383,ITRH01,Itraconazole Susp. 20mg/ml (50ml)                 
43388,LSS004,Lumbosacral support size XL                       
43399,LIVT02,Livalo Tab 2 mg                                   
43458,HEPI01,Heparin Inj 5000 u/ml  5 ml  *HAD*                
43470,ITRT02,Itracon Cap 100 mg                        
43495,ALBL02,Alben Susp 400 mg/10 ml                           
43622,CIPT04,Ciproxyl Tab 500 mg
43647,CIPT04,Ciproxyl Tab 500 mg                       
43884,RIFT02,Rifampicin Tab 450 mg                             
43886,FLEL01,Flexsa 1500 mg                                    
44108,CHLE01,*(d) Chlor-Oph Eye Drops 0.5% 5 ml        
44157,PLAE01,*(d) Plaivana Cream 35 gm                 
44196,HYDT02,*(d) Hydrea Cap 500 mg (X)H0007 *HAD*
44221,LORT03,*(d) **LoRANTA Tab 50 mg
44249,GIOE01,**Giona Easyhaler 200 mcg/puff                    
44255,MXEYSN6AD3,SN6A D1 ReStor multifocal Intraocular lens /
44481,DEPL02,*(d) Depakine Sol (200 mg/ml) 60 ml
44491,LANL01,Digoxin*Elixir*60ml.(0.05mg/ml)  *HAD*            
44496,LAMT05,Lamivudine Tab 150 mg (LAMIVIR)
44499,LAMT05,Lamivudine Tab 150 mg (LAMIVIR)           
44551,PROT03,*(d) Propyl Tab 50 mg
44631,CERI04,Cerezyme Inj.  400 u () ED(2)                
44672,HCOE01,H-Cort 1% Cream 15 g                              
44733,MIXI04,*(d) Mixtard 30HM (30/70) Inj ( 1000 U/10ml )
44914,VITT05,*(d) Vitamin B6 Tab 10 mg                 
45024,ASME01,Asmasal SDU (2.5 mg / 2.5 ml)                     
45165,SUR009,Surfit flexible flange 32 mm [colostomy]          
45240,MXNCCF20M,Cascadeflo EC 20W hemoperfusion catridge /
45295,SUR008,Surfit drainable pouch 32 mm [colostomy]          
45319,ASTT01,*(d) Astair Tab 10mg
45416,TIMT01,*(d) Timazol Tab 5 mg                     
45490,PETI02,Pethidine Inj 50 mg *HAD*                         
45517,CLOI05,*(d) Cloxgen Inj 1 gm (GDH)               
45599,KLOT01,Kloramin Tab 4 mg (CPM)
45601,KLOT01,Kloramin Tab 4 mg (CPM)                   
45661,DEXT02,*(d) Dextromethorphan Tab 15 mg           
45670,AUGT03,Augmentin Tab 1 g                                 
45687,EIFT01,*(d) Eifcof-G Tab 15 mg
45722,BETE08,Bethasone Cream 15 g
45724,BETE08,Bethasone Cream 15 g                      
45725,UNIE03,*(d) Unison Enema 20 ml
45830,SEL001,*(d) Selfcath *FEMALE*
45831,BETEX3,*(d) Betamed Solution-450 cc
45885,TART05,Tareg Tab 80 mg (Diovan)                       
45900,LORT04,Lorita Tab 10 mg ()
45902,LORT04,Lorita Tab 10 mg ()                 
46025,MXXPBFCIAB,[UC]Armada35/Fox Cross +Indeflator [peripheral bal
46028,MXXMBPTAB,[UC] X - Mustang Balloon (Percutaneous translumina
46037,CANE03,*(d) Candid Ear Drop 15 ml
46061,GUAL01,*(d) Guaifenesin Syr (100 mg/5ml) 60 ml
46064,SERE07,*(d) **Seretide Evohaler 25/125
46108,VIGE01,Vigamox 0.5% ED -5ml                              
46160,SODH01,Sodium EDTA Eye Drop0.9% (10ml)                   
46252,NAVT01,Navamin Tab 50 mg
46479,VOLT04,Voltaren-SR Tab 100 mg                            
46491,FEBT01,Feburic Tab 80 mg                                 
46494,HART03,Harnal  ocas Tab 0.4 mg                           
46495,FYBL01,Fybogel 3.5 g                                     
46551,MERT04,Merislon Tab 12 mg                                
46598,TESI02,Testoviron Depot 250 mg                           
46780,POTLX5,Potassium CITRATE Mix.240 ml                      
46946,NITT01,Nitrazepam Tab 5 mg *HAD*                         
46992,FENI01,*(d) Fentanyl Inj 2 ml (50 mcg/ml) *HAD*
47011,TEAE02,*(d) Tears Naturale Free ED0.8m l(3
47082,CHLE03,*(d) Chlor-Oph Eye Ointment 5 g           
47083,TIME03,*(d) TimoDROP ED 5mg/ml (5 ml)            
47084,TRAT07,Trazodel Tab 50 mg
47093,TRAT07,Trazodel Tab 50 mg                        
47121,XANT08,Xandase Tab 100mg
47143,XANT08,Xandase Tab 100mg                         
47240,MXOP4303M,"PRIMACAST 4"" x 30"" [30430] /3M/                  "
47471,ISOT08,Isomet Tab 250mg ( Aldomet)
47545,TRIE01,*(d) Trinolone Kids Oral Paste 1 g
47548,ADRI04,Adrim Inj 10 mg/5 ml  (X)A0008*Chemo* *HAD*       
47612,ISOT08,Isomet Tab 250mg ( Aldomet)            
47616,RIVT01,Rivotril Tab 0.5 mg                               
47790,FENI01,*(d) Fentanyl Inj 2 ml (50 mcg/ml) *HAD*  
47791,MONT05,Montek Tab 10 mg
47805,MONT05,Montek Tab 10 mg                          
47842,BCOT01,B CO-ED Tab  (Vitamin B Complex)
47858,BCOT01,B CO-ED Tab  (Vitamin B Complex)          
47920,SAVEX7,*(d) Savlon 1:100 in Water 500 ml
47929,METE01,Metzodin Nasal Spray 0.05%                        
48248,COL021,*(d) Soft Collar size S
48472,ALPT01,Alpha-D3 Cap 0.25 mcg                             
48476,NEUT07,Neurontin Cap    100   mg                         
48567,VIST01,Visanne Tab 2 mg ( 28 )                
48645,MXMCPAMCP,Mask CPAP Respironic //          
48676,DIPI08,*(d) Diphereline P.R. 11.25 mg
48739,PROT15,*(d) Progynova 1 mg( 28  )
48775,CERT04,Cerazette 28 Tab                                  
48781,ATRE02,Atropine  Eye Drops  1%   5 ml
48791,SODEX6,Sod. Bicarb.* EAR*  Drop 10 ml                    
48793,ATRE02,Atropine  Eye Drops  1%   5 ml            
48908,ENAI01,Enantone L.P.  3.75 mg ED(2)                     
48929,NED018,"Needle 18G x 1 1/2""disposable                     "
48956,GRIT03,*(d) Grisflavin Tab 500 mg
48976,HMII01,*(d) H-mide Inj 250 mg/25 ml
48979,LIVT02,*(d) Livalo Tab 2 mg
48989,KETT02,Ketosteril Tab                                    
49088,BONT04,*(d) Bon-One Tab 0.5 mcg
49200,SYSE01,Systane Ultra ED 10 ml                            
49201,XALE02,Xalacom Eye Drops 2.5 ml                          
49315,GRIT03,*(d) Grisflavin Tab 500 mg                
49504,MANI02,*(d) Mannitol 20% 100 ml.
49505,D5WI01,*(d) D-5-W 100 ml
49507,D5SI01,*(d) D-5-S 500 ml
49509,NSSI03,*(d) NSS 250 ml (I.V.)
49531,LORT05,*(d) **LoRANTA Tab 100 mg
49648,ELA003,"Elastic Bandage 3""x5yds                           "
49660,FOLT04,*(d) Folina Tab 15 mg () (X)F0030
49686,VITH02,Vitamin D2 Susp. 5000 unit/ml (40ml)              
49730,BUREX4,10% Burrow 's Sol   240   ml                      
49768,ZYNE02,*(d) Zyno Cream 0.1%-5 gm                 
49807,FENI01,Fentanyl Inj 2 ml  (50 mcg/ml) *HAD*              
49871,DEPI01,Depo-Medrol Inj 40 mg                             
49895,PODE01,Podophylline Paint 25% 15 ml                      
49928,ARTEX1,Artificial Saliva 500 ml                          
49974,ACTI03,"Actrapid HM 1,000 U/10 ml  *HAD*( Insugen R)   "
50055,CELT09,Cellcept FCT 500 mg
50057,MIDI02,Midazolam Inj  5 mg/ml  *HAD*                     
50134,CELT09,Cellcept FCT 500 mg                       
50163,CADT02,Caduet (10/20) Tab                                
50196,HCOE01,*(d) H-Cort 1% Cream 15 g
50198,SHOLX3,*(d) Shohl's Solution 240 ml
50222,MMRI03,*(d) MMR Vaccine (MASU)
50235,MMRI03,*(d) MMR Vaccine (MASU)                   
50284,SARL01,*(d) Sara Infant Drop 15 ml (100 mg/ml)   
50324,FOLT04,*(d) Folina Tab 15 mg () (X)F0030   
50325,HCOE01,*(d) H-Cort 1% Cream 15 g                 
50486,VINI06,Vincristine Inj1mg/ml (MASU)*Chemo* *HAD*         
50510,NEUI03,Neutromax Inj 300 mcg (X)N0006                    
50687,CLOT06,*(d) Clopaze *TAB. 100 MG.
50692,FLUI08,*(d) Fluanxol Depot 40 mg
50865,LORT05,*(d) **LoRANTA Tab 100 mg                 
50869,FOLT02,*(d) **Folivit Tab 5 mg
50876,PRET12,Prenarpil Tab 2 mg
50880,PORT02,Porazine Tab 8 mg                                 
50881,PRET12,Prenarpil Tab 2 mg                        
50882,CAFI02,Cafonate Inj 300 mg/30ml (X)C0062
50884,MELEX1,Meladinine Cream 0.05%  5 g                       
50892,LSS003,Lumbosacral support size L
50895,LSS003,Lumbosacral support size L                
50954,LORT03,*(d) LoRANTA Tab 50 mg                    
50985,LORT05,*(d) Loranta Tab 100 mg
51018,SUGT01,*(d) Sugril Tab 5 mg                      
51021,LORT05,*(d) Loranta Tab 100 mg                   
51024,METT01,*(d) Metformin Tab 850 mg                 
51027,UTMT01,*(d) Utmos-30 Tab                         
51043,MERI03,*(d) Merex Inj 1 gm (MTX) (X)M0010 *Chemo* *HAD*
51056,FILI01,Filgen 300 mcg  PFS(X)F0020                       
51057,FOLT04,Folina Tab 15 mg () (X)F0030                
51060,CAFI02,Cafonate Inj 300 mg/30ml (X)C0062         
51182,SYI050,*(d) Syringe Insulin 30G 0.5 ml
51234,FENT02,*(d) Fenafex Tab 60 mg                    
51390,KEPT01,Keppra Tab 250 mg                                 
51393,BENE04,Benzyl Benzoate Lotion 60 ml (25%)                
51399,DIAI02,Diazepam Inj 10 mg                                
51718,INHE01,Inhalex Forte Solution 4 ml                       
51741,ELA003,"*(d) Elastic Bandage 3""x5yds"
51843,WATE01,*(d) Water for Irrigation 1000 ml
51907,MXOKSPBJC,"Futuro Knee support [] [](S,M,L)/B"
52291,MXMCPAPRPS,CPAP BMC //                               
52332,SILEX3,Silver Sulfadiazine 300 g                         
52402,SERE07,*(a) **Seretide Evohaler 25/125
52412,IPOE01,Ipodine 10%w/v ( Betadine 30 ml)               
52527,SALT04,*(a) Salofalk Tab 500 mg
52827,NORT13,Norxacin Tab 200 mg                               
53045,NSSI01,NSS 1000 ml (Injection)
53063,NATE01,Natear Eye Drops 0.3% 10 ml
53072,NATE01,Natear Eye Drops 0.3% 10 ml               
53103,HALT10,Haloperidol Tab 2 mg (G.P.O)                      
53199,MAFT05,Maforan Tab 4 mg *HAD* 
53230,SHOLX3,Shohl's Solution 240 ml                           
53299,NSSI01,NSS 1000 ml (Injection)                   
53332,CART04,Cardiprin-100 Tab                                 
53337,SALEX6,*(d) Salicylic acid 3% in TA Cream 5 g
53434,TELT03,Telfast Tab 180 mg                                
54093,EMUT01,Emulax Tab 5 mg
54094,EMUT01,Emulax Tab 5 mg                           
54115,DUPL02,Duphalac 1000ml                                   
54587,MAFT05,Maforan Tab 4 mg *HAD*            
54764,SODT01,*(d) Sodamint Tab 300 mg
54770,LIDI02,*(d) Lidocaine HCl Inj 2% 20 ml
55886,SALEX7,*(d) Salicylic acid 40% Oint 30 g
55905,WAT001,Waterproof Sterile Bandage (Nexcare)              
55930,FOL022,Foley Cath 2-way (CH16) 5-15 cc                   
55978,SCA021,Scalp Vein 21G                                    
56109,ROXT03,*(d) Roxinpac FP Tablet 150 mg
56118,ZERT03,*(d) Zertine Tab 10 mg                    
56261,HYPT02,Hypercor Tab 5 mg
56263,BLOT02,Blopress Tab  8 mg
56279,MYOT02,*(d) Myonal Tab 50 mg
56403,CIFT01,*(d) Cifloxin Tab 250 mg                  
56440,SYR006,Syringe 5 ml disposable                           
56505,HYPT02,Hypercor Tab 5 mg                         
56509,BLOT02,Blopress Tab  8 mg                        
56534,MYDT01,*(d) Mydocalm Tab 50 mg                   
56714,DOSI01,*(d) Dosanac Inj 75 mg/3 ml               
56785,OPS103,Opsite Post Op Size 20cm x 10cm                   
57062,REPT01,Reparil Tab 20 mg                                 
57074,ARM001,*(d) Arm-sling size SS
57096,DILT02,*(d) Dilantin Infatab 50 mg
57109,DILT02,*(d) Dilantin Infatab 50 mg               
57111,DILT01,*(d) Dilantin Kapseal 100 mg              
57236,FORT03,*(d) Forxiga Tab 10mg
57263,BERT01,*(s) Beramol Tab 500 mg
57357,LANE01,Lanotan Eye Drop 0.005% (2.5ml)
57528,LANE01,Lanotan Eye Drop 0.005% (2.5ml)           
57554,MXMCPAMCM,MASK CPAP - Joyce easy / weinman [S-M-L] / 
57575,NEUT06,*(d) Neurontin Cap 300 mg
57583,XART04,*(d) XARAtor Tab 40 mg ( lipitor)
57619,CYCH01,0.5%Cyclosporin Eye Drop (10ml)                   
57658,OBIT02,*(d) Obimin AZ Tab                        
57778,ADRT01,Advagraf Cap 0.5 mg
57792,ADRT01,Advagraf Cap 0.5 mg                       
57805,OPS002,*(d) Opsite Flexigrid 10 x 12cm
57814,AIRT01,*(d) Air-X Tab                            
57850,OBIT02,*(d) Obimin AZ Tab
57890,CORT01,*(d) Cordarone Tab 200 mg
57921,KIVT04,*(d) Kivexa Tab (600/300) (  B24)
57979,CHLLX1,CHLORAL  Hydrate 30 ml  ()               
58011,IBUT01,Ibrofen FC Tab 200 mg                             
58095,FOSI02,Fosmicin Inj 4 gm                                 
58105,BENE04,*(d) Benzyl Benzoate Lotion 60 ml (25%)
58134,COTE01,*(d) Cotren Vag Tab 100 mg                
58152,NAVT01,*(d) Navamin Tab 50 mg                    
58172,MORI01,*(d) Morphine Sulfate Inj 10 mg *HAD*     
58207,MELT01,Meladinine Tab                                    
58255,TIDT01,Tidar Tab 4 mg
58327,FURT03,FuRetic Tab 500 mg
58375,DOPT02,*(d) Dopsan-100 Tab
58456,DEXT01,Dexasone Tab 0.5 mg                               
58462,TIDT01,Tidar Tab 4 mg                            
58481,BEET01,Vit B Complex  Tab (Beefolic)                     
58719,FURT03,FuRetic Tab 500 mg                        
59644,ACTTX3,*(d) Activated Charcoal 50 g              
59650,DIML01,*(d) Dimetapp Elixir 60 ml
59657,DIML01,*(d) Dimetapp Elixir 60 ml                
59688,ACEI02,*(d) Acetin Inj 300 mg/3ml ( Fluimucil Inj)
59718,CIPT06,Cipol-N 100mg soft capsule                
59858,ONSI02,Onsia Inj 8 mg
59890,LORT03,*(d) Loranta Tab 50 mg
59927,ONSI02,Onsia Inj 8 mg                            
60091,DULE01,*(d) Dulcolax *SUPPO* (adult)
60103,STO614,Stomach tube no.14                                
60169,SKIEX2,*(d) SKIN Cream 30 g                      
60192,ENAI02,Enantone L.P.    11.25  * MG                      
60311,MXOFTREWS,Futuro Elbow Support [] //
60317,MXOFTRHNXL,Futuro Stabiliz. Knee Support () // 
60319,MXOFTRHNXL,Futuro Stabiliz. Knee Support () /
60320,CIPT06,Cipol-N 100mg soft capsule
60322,MXOFTREWS,Futuro Elbow Support [] //   
60372,KALL01,*(d) Kalimate Powder 5 g                  
60410,IRET02,Iressa Tab 250 mg  *IPAP*                         
60481,EU2E01,EU 2000 Cream 5 g                                 
60559,VILT01,Vilerm Tab   400   mg
60584,ENTT01,*(d) Entresto FCT 100 mg
60591,ZOLT01,*(d) Zoloft Tab 50 mg
60679,SALEX2,Salicylic acid 5% in TA Cr.5 g                    
60690,EIFT01,Eifcof-G Tab 15 mg
60691,DIML01,Dimetapp Elixir 60 ml                             
60698,EIFT01,Eifcof-G Tab 15 mg                        
60810,VILT01,Vilerm Tab   400   mg                     
60825,GALT01,Galvus Tab 50 mg                                  
60864,ALPT03,Alprazolam Tab 0.5 mg *HAD*
60877,BEST01,*(s) Bestatin Tab 20 mg
60878,DIPT01,*(s) DiPazide Tab 5 mg **
60879,SIAT01,*(s) Siamformet Tab 500 mg ()
60883,ALPT03,Alprazolam Tab 0.5 mg *HAD*               
60921,SILH01,Sildenafil Susp. 5mg/ml (20ml)                    
60938,RANH02,Ranitidine Susp. 25mg/ml (60ml)                   
60979,DULE01,*(d) Dulcolax *SUPPO* (adult)             
61087,EFET02,Efexor XR  CAP.  150   MG.                        
61139,KIVT03,*(d) Kivexa Tab (600/300) (SSO/)
61199,KIVT03,*(d) Kivexa Tab (600/300) (SSO/)       
61321,TOBE04,*(d) ToBramycin Eye Drops 5 ml            
61325,URAL01,Uralyt-U 280 g                                    
61362,NSSI10,NSS 0.9% 5ml
61386,DIAT02,Diazepam Tab    2   mg                            
61737,SIXT01,*(d) Sixime Cap 100 mg                    
62309,BETT06,*(d) Betalol Tab 10 mg (Propranolol)      
62424,MORI01,Morphine Sulfate Inj 10 mg   *HAD*                
62515,CODT04,Co-Diovan *Tab (160/25)                           
62525,CODT06,*(d) Codesia Tab                          
62581,CIPT04,*(d) Ciproxyl Tab 500 mg                  
62654,SUR003,*(d) Surfit drainable pouch 45mm [colostomy]
62656,SUR010,*(d) Surfit 'Moldable' Flange 45 mm(Medium)[colost
62668,CHLL01,*(d) Chlorpheniramine Syr (2 mg/5 ml) 60 ml
62737,SUR001,*(d) Surfit urostomy bag 45mm
62820,BERE01,*(d) Berodual INHALER 200 dose            
62840,COL023,*(d) Soft Collar size L
62870,PROI03,*(d) Proluton Depot Inj 250 mg
62895,NED025,"*(d) Needle 25G x 1"" disposable"
62896,NED018,"*(d) Needle 18G x 1 1/2""disposable"
62899,PROI03,*(d) Proluton Depot Inj 250 mg            
62999,NORT17,*(d) Nortyline Tab 25 mg
63117,FOST04,Fosrenol Tab 750 mg (chewable)                    
63122,VAST02,Vastarel MR Tab 35 mg                             
63239,NORT17,Nortyline Tab 25 mg
63279,LANE01,*(d) Lanotan Eye Drop 0.005% (2.5ml)      
63310,SOPT01,*(d) Sopmil (Verapamil) Tab 40 mg
63363,DEXI03,D-5-S/2 1000 ml                                   
63475,MSOCPFTRB,Ocu. Plus Foam [015718104506] 50 ml /TRB          
63552,IMUT01,ImuRan Tab                                        
63558,POCT01,Pocitrin Tab                                      
63676,ENDI02,Endoxan Inj 500 mg  (X)E0007 *Chemo* *HAD*        
63944,PROE03,*(d) Proctosedyl Suppo                    
64068,NORT17,Nortyline Tab 25 mg                       
64388,DIQE01,Diquas eye drop 5 ml                              
64389,COME02,Combigan Eye Drops 5 ml                           
64392,TAFE01,Taflotan 0.0015% oph soln-2.5ml                   
64439,TART04,**Tarivid Tab 200 mg                              
64654,VANI03,*(d) Vancin-S Inj **1GM**()
64703,COL003,*(d) Colostomy Drainable Bag 50 mm
64781,ELA014,"Easifix Cohesive 1""                               "
65276,MXRAFOCDM,"Ankle Foot Orthosis [AFO] [Rt. Lt.] [s,m,l,xl] /"
65329,NSSI10,NSS 0.9% 5ml                              
65518,CORT02,Coralan Tab 5 mg
65774,SERE06,Seretide Evohaler 25/50                           
66229,CYMT02,Cymbalta Cap 30 mg                                
66376,HIAE01,Hialid Eye Drops 5 ml                             
66501,LSS004,Lumbosacral support size XL
66730,LSS004,Lumbosacral support size XL               
66785,MAGT01,*(d) Magesto-F Tab
66961,VIDE01,*(d) Vidisic Gel 10 g                     
66977,MXMAGSM023,Intrasite Gel 25 g/ +/                 
66991,MYCE02,Mycalcitonin 200 IU (14 dose)
67027,GANH01,*(d) Ganciclovir 2% Eye Drop (25 ml)
67056,MYCE02,Mycalcitonin 200 IU (14 dose)             
67201,SYI100,Syringe Insulin 1 ml
67229,LSS002,Lumbosacral support size M                        
67242,CORT02,Coralan Tab 5 mg                          
67288,FENT03,*(d) Fenafex Tab 180 mg                   
67291,PSET02,*(d) Pseudoephedrine F/C Tab 60 mg *HAD*  
67469,GAVL01,*(d) Gaviscon Liquid 10 ml
67481,PRET16,*(d) Prevacid FDT 30 mg
67554,NICT03,*(d) Nicotinic acid Tab 50 mg
67619,SIBT01,Sibelium Tab 5 mg                                 
67650,RHIL02,Rhinex Syrup  60 ml                               
67658,SYI100,Syringe Insulin 1 ml                      
67697,MXNHMCNTR,Hemo-cath SL 24-28-32 /
67700,MXNHMCNTR,Hemo-cath SL 24-28-32 /        
67779,BENT03,Benzhexol Tab 2 mg
67783,BETT07,Betalol TAB 40 mg (Propranolol)
67784,BETT06,Betalol Tab 10 mg (Propranolol)
67785,LEVT01,Levomet Tab (100/25)
67813,LEVT01,Levomet Tab (100/25)                      
67814,BETT06,Betalol Tab 10 mg (Propranolol)           
67815,BETT07,Betalol TAB 40 mg (Propranolol)           
67816,BENT03,Benzhexol Tab 2 mg                        
67830,MEGT01,Megace Caplet 160 mg (X)M0004                     
68082,PHET02,*(d) PhenobarbiTone Tab 60 Mg             
68112,CYTT01,*(d) Cytotec Tab 200 mcg
68164,PURT03,Purinetone Tab 50 mg (X)P0041 *HAD*               
68208,LIST02,Lispril Tab   5  mg                               
68526,ZIMT01,Zimmex Tab 10 mg                          
69077,NSSI07,NSS 500 ml  (I.V.)
69090,BLEI01,Bleocin Inj 15 mg  (X)B0011*Chemo* *HAD*          
69215,QUAT02,Quantia Tab 200mg
69216,LAMT01,Lamictal Tab 100 mg
69217,QUAT02,Quantia Tab 200mg                         
69222,GANE01,Ganfort Eye Drops 3 ml                            
69305,NELT03,*(d) Nelapine 20SR Cap                    
69322,LAMT01,Lamictal Tab 100 mg                       
69337,ZERT03,Zertine Tab 10 mg
69386,SYR050,*(d) Syringe 50 ml disposable
69481,CLEI02,*(d) Clexane Inj 60 mg/0.6 ml             
69521,TUMT01,*(d) Tumax Tab                            
69522,MOTT02,*(d) Domperidone Tab 10 mg ( Motidom-M )  
69523,ESIT01,Esidep Tab 10 mg                                  
69575,DORT02,Dorner Tab 20 mcg                                 
69866,MINT02,Minapine Tab 50 mg                                
69961,ZOPT01,Zolpidem Tab 10 mg *HAD*                          
69994,ZERT03,Zertine Tab 10 mg                         
70089,NEUT10,*(d) Neuris Tab 1 mg
70095,RIFT01,*(d) Rifampicin Cap 300 mg
70140,BETT08,Betmiga Tab 50 mg                                 
70317,RIFT06,Rifinah Cap 300   mg                              
70436,HALT09,Haloperidol Tab 5 mg (G.P.O)                      
70732,EFFI01,*(d) Effcil Inj 500 mg (X)E0044 *Chemo* *HAD*
70757,CHLE01,Chlor-Oph Eye Drops 0.5%  5 ml
70774,ALPT03,*(d) Alprazolam Tab 0.5 mg *HAD*          
70798,CHLE01,Chlor-Oph Eye Drops 0.5%  5 ml            
70806,BCOT01,*(d) B CO-ED Tab (Vitamin B Complex)      
70824,PRET03,Prenolol Tab 100 mg
70837,PODE01,*(d) Podophylline Paint 25% 15 ml
70860,FLUL02,*(d) Fluimucil 200 MG.
70898,JANT04,JANUmet Tab (50/1000)                             
70920,CHLEX1,*(d) Chlorhexidine w/ Xylocaine MW 450 ml
70974,PRET03,Prenolol Tab 100 mg                       
71046,SINT05,Singulair Tab 10 mg                               
71050,AERT01,Aerius Tab 5 mg                                   
71253,HYDH01,HydroCHLOROthiazide Susp. 5mg/ml (60ml)           
71601,BEST02,*(d) Bestatin TAB 40 MG.                  
72074,PCN001,PCN Replacement Cath                              
72288,MERT05,Mercilon21 Tab
72367,DALT02,*(d) Dalacin Cap **300 mg
72686,INVI01,Invanz Inj 1 g                                    
73040,CRU008,*(d) CRUTCH Adjust Size S
73075,OSEH02,*(d) Oseltamivir Susp. 15 mg/ml (30ml)
73177,ZEFI03,CeftaziDime Inj 1 gm ( ZefTAM )                   
73181,KBA001,*(d) K-Band 5cm x 4m
73274,RILT01,*(d) Rilpivirine Tab 25 mg ( NAP ) (Edurant)
73276,TENT07,*(d) Teno-EM Tab ( NAP )
73843,EXOE01,*(d) Exopred Eye Drop 5 ml
73907,DIST03,*(d) Disol Tab 8 mg                       
73996,INVI01,*(d) Invanz Inj 1 g
74323,VIDE01,Vidisic Gel 10 g
74325,VIDE01,Vidisic Gel 10 g                          
74543,PROT12,Prograf Cap 1 mg                          
74568,MERT05,Mercilon21 Tab                            
74721,SYT025,Syringe Tuberculin 26G 1 ml                       
